title,url,datePosted,hood,description,address,compensation
Vehicle Operator at Toyota,https://sfbay.craigslist.org/sby/sof/d/los-altos-vehicle-operator-at-toyota/6931655006.html,2019-07-11 10:39,,"
        

If you're interested in applying for the role or finding out more, you can check it out
here.



Toyota Research Institute (TRI) is working on developing vehicles incapable of causing a crash and technology for vehicles and robots to help people enjoy new levels of independence, access, and mobility. 

We're seeking motivated individuals with a passion for technology to join TRI's Driving Operations Team in Los Altos, CA. You'll be responsible for TRI's autonomous vehicle platforms on various public and private roads, obtaining data and fixing technical issues. In this role, you'll provide necessary feedback to the engineering team aimed at improving groundbreaking automated driving technology.TRI's fun start up environment is fueled by a diverse and inclusive community of people who carry invaluable experience from industry-leading companies. If you're passionate about working with brilliant people to make cars safer, TRI is the place for you. 


If you're interested in applying for the role or finding out more, you can check it out
here.


Requirements

Bachelor's degree or equivalent experience
Valid US driver's license, a clean driving record, and 7+ years of driving experience  
Ability to consistently demonstrate situational awareness and a willingness to constantly adjust to changes in the environment. 
Able to demonstrate safe driving in all weather conditions, including snow
Excellent verbal and written communication skills
Ability to learn quickly and implement new concepts
Proficient computer skills, including basic troubleshooting with the ability to utilize proprietary tools
Ability to perform physical work, including, but not limited to, bending, stooping, and lifting up to 50 lbs.


If you're interested in applying for the role or finding out more, you can check it out
here.

Commitment: This is a long-term, full-time (40 hours per week with possible overtime) contract position, staffed by HireArt, that requires spending four to six hours inside the vehicle on a daily basis. Compensation is hourly and paid training is provided. Occasional extended travel time may be required.     ",,Competitive
Help Desk Technician,https://sfbay.craigslist.org/sby/sof/d/san-jose-help-desk-technician/6931571776.html,2019-07-11 09:14,,"
        

SAN JOSE -EVERGREEN COMMUNITY COLLEGE DISTRICT

The San Jose - Evergreen Community College District is currently recruiting a Help Desk Technician. This is a temporary assignment through 10/31/2019 with the possibility of extension. Hourly pay is $25.99. Working hours are Monday - Thursday, 10:00 AM - 7:00 PM, Fri 8:30 AM - 5:30 PM. Position will be located at District Office, 40 S. Market Street, San Jose, CA 95113. 
 
Under the direction of the Helpdesk and Reprographics Supervisor or assigned administrator, perform a variety of technical and skilled tasks in the scheduling and operation of data processing equipment; respond to and assist in the diagnosis of problems through interactions with users including problem recognition, research, isolation and resolution of problems.
 
The Help Desk position requires an Associate's degree in Computer Science or related field. Two years of experience increasingly responsible experience performing help desk operation function or related activities. 
 
Interested applicants should apply to our Classified Short-Term Temporary Hourly Applicant Pool @ http://sjeccd.peopleadmin.com/postings/1774
 
For consideration, please submit a District application, cover letter, resume and copy of your transcripts by Friday, July 26, 2019 at 5:00 PM




Copyright 2017 Jobelephant.com Inc. All rights reserved.

Posted by the FREE value-added recruitment advertising agency jeid-3b0a2476f4c7e340ad3f7463bca17cc0    ",,
Senior Program Manager - SAP SuccessFactors,https://sfbay.craigslist.org/eby/sof/d/san-ramon-senior-program-manager-sap/6931510930.html,2019-07-11 08:09, (danville / san ramon),"
        
View job and apply on the corporate career site here.

Responsibilities:

Understand business requirements as well as high-level technical requirements. Work with the Product Management and Engineering leadership to plan the product roadmap.
Coordinate delivery of multiple concurrent projects
Create timelines, identify key deliverables, manage change control, issues and risks
Manage project communications including regular status reporting and project updates to the leadership team, and ensure stakeholder involvement and attention
Work with technical and non-technical teams, including Customer Support, Product Management, Engineering and Cloud Operations teams with efficient and effective resolution of customer issues and escalations
 
Required Skills and Experience:

7+ years experience in IT industry, familiar with software development life cycle. Saas Cloud experience is a plus.
4+ years experience in project management role.
Previous leadership experience in developing and managing diverse global teams.
Must demonstrate a solid track record of delivering results, esp., of large scale complex projects
Experience in leading project meetings for various audience from different teams, different levels including executives.
Experience in Agile development methodology
Detail Oriented, follow deliverables thoroughly, help team to remove road blockers
Bachelor’s degree or above is required, majoring in Computer Science, Information Management System preferred.  MBA is good addition but not mandatory.

View job and apply on the corporate career site here.    ",,DOE
Cloud Governance & Business Operations Manager,https://sfbay.craigslist.org/sfc/sof/d/south-san-francisco-cloud-governance/6931505757.html,2019-07-11 08:04, (SOMA / south beach),"
        
View job and apply on the corporate career site here.

Duties and Responsibilities:

Manage business cases, approvals, and creations for public cloud subscriptions
Retrieve, analyze, and report financials and usage statistics for public cloud subscriptions
Manage purchase, conversion, and transfer of Reserved Instances (RIs) with optimized financial impact
Manage technical implementation cloud policies (e.g. naming, tagging, auto-shutdown, budgeting, SKU constraints) with automation of enforcement in mind
Manage technical maintenance and deployment of scaffolds for subscription archetypes
Own cloud governance policies and framework; drive change decisions with inputs from multiple stakeholders
Manage relationship with central Global Cloud Services on centralized policies, tools, and financial management topics

Required Skills and Experience:

Familiarity with public cloud management interface including portal, command line interface (CLI) and scripting (PowerShell)
Technical ability to implement cloud policies and integration with service management tools
Experience with cloud financial and optimization tool such as Cloudability and CloudHealth a strong plus
8+ years of engineering or technical management experience
Bachelor or Masters degree in Computer Science a must
Strong project management, quantitative modelling, and complex problem solving skills

View job and apply on the corporate career site here.    ",,DOE
Senior Data Analyst - SAP SuccessFactors,https://sfbay.craigslist.org/sfc/sof/d/south-san-francisco-senior-data-analyst/6931497498.html,2019-07-11 07:54, (SOMA / south beach),"
        
View job and apply on the corporate career site here.

Duties and Responsibilities:

Work closely with Product Management, Operations, and Development teams to define and implement data strategies to create insight into how our customers implement and use our products.
Retrieve, manipulate and analyze data from various sources to draw relevant and actionable conclusions
Ensure data accuracy by validating data, identifying any missing data and working with engineering to start capturing the right data for analysis
Gather requirements from customers, prospects, engineers, sales, other product managers, and professional services consultants, and write detailed product specifications for the engineering team
Perform competitive analysis in determining and prioritizing feature requirements
 
Required Skills and Experience:

Excellent data acquisition and manipulation skills (ability to write SQL, process data in R or Python, data warehousing, Excel)
Strong verbal/written communication and data presentation skills to effectively prepare and present reports, forecasts, trends and actionable insights to executive, business and technical teams
Excellent quantitative analysis skills to take data as input and output actionable recommendations
Experience with Software-as-a-Service or Cloud delivery model
5+ years’ experience as a business analyst or equivalent role

View job and apply on the corporate career site here.    ",,DOE
Lead Programmer Wanted,https://sfbay.craigslist.org/nby/sof/d/san-rafael-lead-programmer-wanted/6931327749.html,2019-07-10 22:21, (san rafael),"
        
Seeking dedicated professional to head software development in blockchain startup. The ideal candidate should be flexible and adaptable given the nature of the space in which we operate.    ",,Negotiable
QA Technician for food manufacturing,https://sfbay.craigslist.org/eby/sof/d/san-lorenzo-qa-technician-for-food/6931091934.html,2019-07-10 14:28,,"
        
Responsibilities:
•	Responsible for conducting and performing the full range of physic/chemical laboratory analyses to ensure high quality on raw and finished materials and products.
•	Verification of critical control points for milk product processing and flavored syrups.
•	Focusing technical abilities to operate and maintain laboratory equipment and instruments as well as maintaining all the test results and information. Performing Equipment calibrations and checks.
•	Performing microbiological and chemical analysis on finished product samples in accordance with the protocol. Evaluating and notifying supervisor when results are out of specification.
•	Conducting Line Inspection on all product manufacturing. Collecting the required number of samples for microbiological and chemical testing.
•	Collecting samples for testing from storage as well as sorting, organizing, classifying and labeling samples. Maintaining retention inventory.  Verifying and maintaining sample inventory pulled. Maintaining testing materials, supplies and equipment solutions as well as standards, controls, solvents and silica.
•	Collecting and testing necessary water samples. Labeling, packing and preparing paperwork for outgoing samples to outsourced laboratories.
•	Maintaining comprehensive records on all testing.
•	Keeping laboratory environment safe and clean by following plant safety, environmental and OSHA policies/ standards when working. Working in a standardized manner to ensure efficiency of testing methods.
•	Maintain the GMPs and work safety for employees.
 
Willing to work in flexible hours, some weekend or late night cover required.
    ",,N/A
Windows SW Engineer,https://sfbay.craigslist.org/eby/sof/d/pleasanton-windows-sw-engineer/6931089085.html,2019-07-10 14:24, (dublin / pleasanton / livermore),"
        
We're looking for someone to help design and maintain Curtis Instruments' application studio for Electrical Vehicles.

The work will include the following:
-Design, code and debug Windows-based tools to support new product development and sustaining projects, with a focus on database back-end, user interface design, and communication protocols for embedded systems.
-Design, set up and run tests to ensure the design meets specifications.
-Apply novel techniques and tools to improve design time, reliability and functionality.
-Work within a small design team to complete assigned objectives. 
-Participate in software design and project reviews.
-Participate in the preparation of development specifications.

Qualification we're looking for:
-BSEE, BSCE or BSCS degree
-Experience in programming C, C++, and C# .NET and installation/deployment procedures.  (especially C#)
-Experience with serial communication over RS232 and CAN are a plus
-Demonstrated ability to develop designs to meet project schedules and requirements.
-Demonstrated knowledge of software analysis, documentation and design of experiments.
-Knowledge of good engineering practices.
-Excellent interpersonal skills
-Effective verbal and written communication skills.    ",235 E Airway Blvd,"$80-120K, depending on experience"
Salesforce Administrator,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-salesforce-administrator/6931056866.html,2019-07-10 13:46, (financial district),"
        
Careers with a Cause
The YMCA of San Francisco was named as one of the Bay Area's Best Places to Work by its employees as well as one of the Healthiest Employers.   Join our team and make a lasting impact every day in communities across San Francisco, San Mateo and Marin Counties.  Every day, our staff--of all ages and from diverse backgrounds and life experiences--are transforming lives through YMCA programs for youth development, healthy living, and social responsibility. When you work for the Y, you'll be supported with training, mentoring and career development opportunities. Plus, we offer great benefits to help you grow stronger in spirit, mind and body, even as you're helping others.

About the Job
The Salesforce Administrator position is part of a growing IT Team in YMCA of San Francisco. We are currently implementing Salesforce across the entire organization, replacing existing sales, fundraising, and operations software. 
Under the direction and supervision of the IT Executive, the Salesforce Administrator will lead the strategy, execution and management of Salesforce CRM for YMCA of SF. This would include analyzing our existing business operations/processes and data systems, to design and build a Salesforce CRM solution, to increase the efficiency of our Sales (Financial Development), Marketing, Operations, Program Development and other teams of the organization. The Salesforce Administrator will also translate business objectives and requirements, by communicating with stakeholders at all levels of the association and its branches, including its senior management. The Salesforce Administrator is a “hands-on” position and is responsible for servicing IT ticket requests, auditing work processes, and performing various IT administration tasks at the Association Office, located at 50 California Street in San Francisco, and 14+ YMCA branches/locations in the Bay Area.

The Salesforce Administrator must be a critical thinker and problem-solver with great attention to detail. Since end-user support and teamwork are important aspects of the role, excellent communication and people skills are required.

Minimum QualificationsMinimum 21 years old
Bachelor's degree in Computer Science
3 to 5 years of experience working as Salesforce Administrator, ideally in an environment managing 500+ user accountsSalesforce implementation experience in a similar environmentSalesforce certification highly desiredAbility to design and implement a Salesforce solution to existing business challenges and opportunities Deep understanding of Salesforce architecture, processes, product and best practices Hands-on experience with all types of SFDC admin tasksExperience with Salesforce Lightning, Visualforce, SOQL, Apex and Salesforce APIThorough knowledge/experience working with custom fields, validation rules, workflow rules, process flows in SalesforceExcellent communication skills, with proven track record working in a dynamic and collaborative team environmentPassionate about data analytics, mining, visualization and trends.
Preferred Qualifications 
Experience working with Salesforce Non-Profit Success Pack (NPSP)
2 or more years in any YMCA or social services non-profits or equivalent
Strong Excel skills and familiarity with analyzing and querying data using SQL
Strong project management skills, experience working closely with project managers and team leads, on large and complex projectsExcellent organizational skills, with the ability to effectively translate between end users, business analysts and technical/functional experts Ability to create and document business requirements, use cases and test cases, interacting with stakeholders, business users/analysts, partners and vendor teamsAdvanced analytical skills in data mining and analysis to determine trends, and provide recommendations to senior management, by building visually compelling dashboards
To Apply:  YSF Salesforce Administrator
Visit our website to learn more about us!

All employees working with the YMCA are considered to have supervisory or disciplinary action relationship over minors.  Job offers are conditional and contingent upon background clearance. Pursuant to the San Francisco Fair Chance Ordinance and CA Fair Chance Act, we will consider for employment qualified applicants with arrest and conviction records.    ",50 California Street near Davis St.,DOE plus benefits
Senior Back-End Services Engineer,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-senior-back-end-services/6930941274.html,2019-07-10 11:39, (potrero hill),"
        
Mode is changing how organizations make decisions by equipping every single person with the power to collaborate on analytics and share insights at the pace of work today. We're building the most advanced web-based environment for creating, sharing, and discussing ad-hoc analysis using a variety of technologies. We have a rapidly expanding list of happy customers who love our product and we're growing to serve even more.

As a Back-End Services Engineer at Mode, you'll work closely with other Engineers, PM's, and Designers to build a powerful application, enabling anyone to build complex data visualizations and manipulations. From building Visual Data Modeling tools to working on our Data Engine that will power millions of queries a day, your work will impact the way our customers understand and share their data. 

What you'll do:
Develop the services that power our Web Application and API's for data analysts and business users
Define and maintain development practices that let us move fast with quality
Work with a wide range of tools and technologies and be able to evaluate technologies for what we are building
Determine priorities by estimating the potential impact of projects
Learn from others and teach those around you

What we look for:
You have built and shipped services that support Web Applications and/or API's
Expert-level aptitude with several programming languages. Right now our services team is primarily using Go and Java but across the application stack we use TypeScript and Ruby on Rails. We are open to hiring people with backgrounds in any languages
Experience with testing, continuous integration, and continuous deployment
Alignment with Mode's values

About Mode:
Mode is a collaborative analytics platform that brings teams together around data to make game-changing decisions.

In everything we do, we strive to put the people we do it for first. This starts internally: together we're building a culture that embraces diversity and learning, humility and gratitude. At the same time, we try not to take ourselves too seriously and strive for a healthy balance between work and personal pursuits.

Benefits you can expect as a Mode employee:

Generous, flexible PTO and family leave
Flexible work schedules—we trust you to know what will make yourself most productive
Generous professional development policy that includes funds earmarked for each employee's discretionary professional growth—Have a conference you want to attend? A class you want to take? If it's helping take your career to the next level, it's on us.
Excellent health coverage for team members and their families (Mode pays the 100% of the premiums)
Supportive work environment and a manager who is focused on your professional growth
Company events that highlight our team's passions and hobbies
Snacks and in-office lunches shared at our ever-growing lunch table
Mode is committed to building an inclusive and diverse workforce. We are an Equal Opportunity Employer and welcome people from all backgrounds, experiences, abilities and perspectives.    ",208 Utah St near Suite 400,DOE
Senior Software Engineer - Infrastructure,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-senior-software-engineer/6930939441.html,2019-07-10 11:38, (potrero hill),"
        
Data analysis is plagued by a fundamentally flawed workflow that leads to slow turnaround times, high error rates, and fewer insights. By combining analytics tools with a collaborative user experience, Mode is alleviating the most pressing bottleneck for analytical organizations. We are looking for a web infrastructure engineer to join us in revolutionizing the way the world analyzes data. This person will be an integrated part of our core engineering team.

What you'll do:
Work with the rest of our software engineers to build application services that power our core product
Research and evaluate technologies for what we build--determine priorities by estimating projects' potential impact
Configuration management
Expand and improve our build and release automation process
Work with our team to define and implement security practices
Learn from others and teach those around you

What we look for:
Strong software development background
You love to automate yourself out of a job
Tons of experience with configuration management tools
Experience with testing, continuous integration, and continuous deployment

Tools we use:
Ansible and Cloud Formation for configuration management for orchestration
Docker and Kubernetes
A wide array of AWS services including EC2, RDS and Redshift
New Relic and Wavefront for monitoring
Github and Travis CI

About Mode:
Mode is building the most advanced cloud analytics platform to make businesses and communities more data driven. Analysts and Data Scientists use Mode to analyze data, build visualizations, and share work with colleagues. Companies love the product because their analysts are able to quickly make data more useful to more people.

In everything we do, we strive to put the people we do it for first. This starts internally: together we're building a culture that embraces diversity and learning, humility and gratitude. At the same time, we try not to take ourselves too seriously and strive for a healthy balance between work and personal pursuits.

Benefits you can expect as a Mode employee:
Generous, flexible PTO and family leave
Flexible work schedules--we trust you to know what will make yourself most productive
Generous professional development policy that includes funds earmarked for each employee's discretionary professional growth--Have a conference you want to attend? A class you want to take? If it's helping take your career to the next level, it's on us.
Excellent health coverage for team members and their families (Mode pays the 100% of the premiums)
Supportive work environment and a manager who is focused on your professional growth
Company events that highlight our team's passions and hobbies
Snacks and in-office lunches shared at our ever-growing lunch table

Mode is committed to building an inclusive and diverse workforce. We are an Equal Opportunity Employer and welcome people from all backgrounds, experiences, abilities and perspectives.    ",208 Utah St near Suite 400,DOE
Senior Software Engineer - DevOps,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-senior-software-engineer/6930938444.html,2019-07-10 11:36, (potrero hill),"
        
Data analysis is plagued by a fundamentally flawed workflow that leads to slow turnaround times, high error rates, and fewer insights. By combining analytics tools with a collaborative user experience, Mode is alleviating the most pressing bottleneck for analytical organizations. We are looking for a DevOps web engineer to join us in revolutionizing the way the world analyzes data. This person will be an integrated part of our core engineering team.

What you'll do:
Work with the rest of our software engineers to build application services that power our core product
Research and evaluate technologies for what we build - determine priorities by estimating projects' potential impact
Configuration management
Expand and improve our build and release automation process
Learn from others and teach those around you

What we look for:
Strong software development background with experience in at least one scripting language
You love to automate yourself out of a job
Tons of experience with configuration management tools
Experience with testing, continuous integration, and continuous deployment
Familiarity with security and networking a plus
Alignment with Mode's values

Tools we use:
SaltStack and AWS CloudFormation for configuration management and orchestration
Docker
A wide array of AWS services including EC2, RDS, DynamoDB and Redshift
Honeycomb, New Relic and Wavefront for monitoring
SumoLogic for log management
GitHub and Concourse

About Mode:
Mode is a collaborative analytics platform that brings teams together around data to make game-changing decisions.
In everything we do, we strive to put the people we do it for first. This starts internally: together we're building a culture that embraces diversity and learning, humility and gratitude. At the same time, we try not to take ourselves too seriously and strive for a healthy balance between work and personal pursuits.

Benefits you can expect as a Mode employee:
Generous, flexible PTO and family leave
Flexible work schedules--we trust you to know what will make yourself most productive
Generous professional development policy that includes funds earmarked for each employee's discretionary professional growth--Have a conference you want to attend? A class you want to take? If it's helping take your career to the next level, it's on us.
Excellent health coverage for team members and their families (Mode pays the 100% of the premiums)
Supportive work environment and a manager who is focused on your professional growth
Company events that highlight our team's passions and hobbies
Snacks and in-office lunches shared at our ever-growing lunch table

Mode is committed to building an inclusive and diverse workforce. We are an Equal Opportunity Employer and welcome people from all backgrounds, experiences, abilities and perspectives.    ",208 Utah St near Suite 400,DOE
Senior Front-End Engineer,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-senior-front-end-engineer/6930937014.html,2019-07-10 11:35, (potrero hill),"
        
Data analysis is plagued by a fundamentally flawed workflow that leads to slow turnaround times, high error rates, and fewer insights. By combining analytics tools with a collaborative user experience Mode is alleviating the most pressing bottleneck for analytical organizations. We are looking for a front-end engineer to join us in revolutionizing the way the world analyzes data.

What you'll do:
Develop our core web applications for data analysts and business users
Define and maintain development practices that let us move fast with quality
Work with a wide range of tools and technologies (from SQL to Javascript) and be able to evaluate technologies for what we are building
Determine priorities by estimating the potential impact of projects

What we look for:
You have built and shipped web applications
Expert understanding of HTML, Javascript/Typescript, CSS and/or related technologies
Experience with testing, continuous integration, and continuous deployment
Experience with front-end frameworks such as angular, react, backbone, etc.
Alignment with Mode's values

About Mode
Mode is a collaborative analytics platform that brings teams together around data to make game-changing decisions.
In everything we do, we strive to put the people we do it for first. This starts internally: together we're building a culture that embraces diversity and learning, humility and gratitude. At the same time, we try not to take ourselves too seriously and strive for a healthy balance between work and personal pursuits.

Benefits you can expect as a Mode employee:
Generous, flexible PTO and family leave
Flexible work schedules--we trust you to know what will make yourself most productive
Generous professional development policy that includes funds earmarked for each employee's discretionary professional growth--Have a conference you want to attend? A class you want to take? If it's helping take your career to the next level, it's on us.
Excellent health coverage for team members and their families (Mode pays the 100% of the premiums)
Supportive work environment and a manager who is focused on your professional growth
Company events that highlight our team's passions and hobbies
Snacks and in-office lunches shared at our ever-growing lunch table

Mode is committed to building an inclusive and diverse workforce. We are an Equal Opportunity Employer and welcome people from all backgrounds, experiences, abilities and perspectives.    ",208 Utah St near Suite 400,DOE
Senior Back-End Application Engineer,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-senior-back-end/6930936105.html,2019-07-10 11:34, (potrero hill),"
        
Data analysis is plagued by a fundamentally flawed workflow that leads to slow turnaround times, high error rates, and fewer insights. By combining analytics tools with a collaborative user experience Mode is alleviating the most pressing bottleneck for analytical organizations. We are looking for a senior back-end web engineer to join us in revolutionizing the way the world analyzes data.

What you'll do:
Develop our core web applications for data analysts and business users
Define and maintain development practices that let us move fast with quality
Work with a wide range of tools and technologies (from SQL to Javascript) and be able to evaluate technologies for what we are building
Determine priorities by estimating the potential impact of projects
Learn from others and teach those around you

What we look for:
You have built and shipped web applications
Expert level aptitude with several programming languages (we hire people with backgrounds in any languages, but right now we are primarily using Ruby, Go, Java and Javascript)
Experience with testing, continuous integration, and continuous deployment
Alignment with Mode's values

About Mode:
Mode is a collaborative analytics platform that brings teams together around data to make game-changing decisions.

In everything we do, we strive to put the people we do it for first. This starts internally: together we're building a culture that embraces diversity and learning, humility and gratitude. At the same time, we try not to take ourselves too seriously and strive for a healthy balance between work and personal pursuits.

Benefits you can expect as a Mode employee:
Generous, flexible PTO and family leave
Flexible work schedules—we trust you to know what will make yourself most productive
Generous professional development policy that includes funds earmarked for each employee's discretionary professional growth—Have a conference you want to attend? A class you want to take? If it's helping take your career to the next level, it's on us.
Excellent health coverage for team members and their families (Mode pays the 100% of the premiums)
Supportive work environment and a manager who is focused on your professional growth
Company events that highlight our team's passions and hobbies
Snacks and in-office lunches shared at our ever-growing lunch table

Mode is committed to building an inclusive and diverse workforce. We are an Equal Opportunity Employer and welcome people from all backgrounds, experiences, abilities and perspectives.    ",208 Utah St near Suite 400,DOE
Map Annotator | $30 - $36 per hour,https://sfbay.craigslist.org/pen/sof/d/los-altos-map-annotator-per-hour/6930861639.html,2019-07-10 10:19, (los altos),"
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/a54b4201/apply


HireArt is looking to hire a Map Annotator to work on-site at Toyota Research Institute’s (TRI) Los Altos location on a contract basis. In this role, you'll work with Autonomous Driving Localization and Mapping teams to develop accurate, scalable, and semantic maps of the world. We are looking for motivated individuals with a passion for autonomous vehicle technology to join the Mapping Annotation Operations Team. As Map Annotator, you'll be responsible for creating and maintaining a high definition map for autonomous vehicles. You'll also work collaboratively with teams to improve internal tools and processes. Responsibilities: 
Use in-house tools for annotating and labeling maps, images, and other assets.

Use internal tools for managing the progress of labeling for various assets.
Report and document issues with tools and labeled assets to the mapping team lead.
Provide feedback for improvements to existing tooling that can increase annotation throughput and quality.
Build high definition maps with proprietary software. 
Develop and improve operational pipeline.
Collaborate with different teams and develop and train operators on new tools and workflows. 


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/a54b4201/apply


Requirements

Bachelor’s degree or equivalent experience

Demonstrated communication, analytic, mathematical, and reasoning skills
Ability to learn quickly and implement new concepts
Proficient computer skills, including basic troubleshooting with the ability to utilize proprietary tools
The ability to travel occasionally as needed
Previous autonomous testing experience is a plus
Commitment: This is a full-time (40 hours per week), 12-month contract position through HireArt and based in Los Altos, CA. Domestic and international travel may be required. HireArt provides Equal Employment Opportunity without regard to the applicant's race, color, creed, gender, gender identity or expression, sexual orientation, national origin, age, physical or mental disability, medical condition, religion, marital status, genetic information, veteran status, or any other status protected under federal, state or local laws.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/a54b4201/apply


About Toyota
At Toyota Research Institute (TRI), we’re working to build a future where everyone has the freedom to move, engage, and explore with a focus on reducing vehicle collisions, injuries, and fatalities. Join us in our mission to improve the quality of human life through advances in artificial intelligence, automated driving, robotics and materials science. We’re dedicated to building a world of “mobility for all” where everyone, regardless of age or ability, can live in harmony with technology to enjoy a better life. Through innovations in AI, we’ll... Develop vehicles incapable of causing a crash, regardless of the actions of the driver.Develop technology for vehicles and robots to help people enjoy new levels of independence, access, and mobility.Bring advanced mobility technology to market faster.Discover new materials that will make drive batteries and hydrogen fuel cells smaller, lighter, less expensive and more powerful.Our work is guided by a dedication to safety – in how we research, develop, and validate the performance of vehicle technology to benefit society. As a subsidiary of Toyota, TRI is fueled by a diverse and inclusive community of people who carry invaluable leadership, experience, and ideas from industry-leading companies. Over half of our technical team carries PhD degrees. We’re continually searching for the world’s best talent ‒ people who are ready to define the new world of mobility with us!We strive to build a company that helps our people thrive, achieve work life balance, and bring their best selves to work. At TRI, you will have the opportunity to enjoy the best of both worlds ‒ a fun start up environment with brilliant people who enjoy solving tough problems and the financial backing to successfully achieve our goals. If you’re passionate about working with smart people to make cars safer, enable the elderly to age in place, or design alternative fuel sources, TRI is the place for you. ‒ Start your impossible with us.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/a54b4201/apply

    ",,$30 - $36 per hour
Growth Stage Edtech Startup Hiring Full Stack Engineers,https://sfbay.craigslist.org/sfc/sof/d/cambridge-growth-stage-edtech-startup/6930235378.html,2019-07-09 13:12, (Cambridge MA),"
        
PrepScholar's mission is to improve education at scale through technology. Our SAT/ACT prep program learns the strengths and weaknesses of each student and creates an individualized learning program through machine learning. It also motivates students to study through clear structure and behavioral feedback. You can think of it as an automated tutor that provides a compelling learning experience at scale. We also have a large organic content project with over a million monthly visitors to our free tools and articles. We believe we have a major advantage over other companies in our space because of our technology-centered and analytical approach to education.

You'll join PrepScholar as our second full stack engineer and work on projects to grow our company within test prep and beyond. You'll improve our prep program by building new features, using large datasets to iterate on A/B tests, and scaling to handle thousands of users. You'll develop free tools and data presentations to give millions of families worldwide better information to guide their decisions. You'll be a core part of our growth as we scale to becoming a national education brand.

We're a team of 20+ and growing, and we're based in Cambridge, MA next to the Charles River. Check us out at www.prepscholar.com

Skills & Requirements
We're looking for a generalist who enjoys learning and working with different technologies along the stack.

Our stack:
Sass, JQuery, Backbone
Django/Python
MySQL
AWS/Linux

Requirements:
+Strong foundation in computer science and software engineering, including competencies in data structures, algorithms, databases, software design and dev ops.

+Strong hands-on experience with our core technologies is a big plus. In particular:

+Python and Django

+JavaScript and JavaScript MV* frameworks like AngularJS, Ember, Knockout, or Backbone

Ideal candidate has:
+Experience deploying frequently

+Willingness to try new things and pick up new technologies quickly

+UX intuition and an eye for design

+Ability to work independently with low management overhead

+Excitement about startups in growth mode and about our company mission

+Location in Boston or willingness to relocate 

About Us
+Founded in 2013. We're profitable, growing, and bootstrapped, so you'll have stability and ability to build out a long-term vision.

+We have a lot of room to grow within test prep and education at large.

+We have a team of 20 full-time members and more part-time instructors.

+We have thousands of customers and a growing footprint of millions of visitors.

+We care about culture and a great work environment. We're flexible with schedule, have no scheduled overtime, conduct efficient meetings, and want minimal bureaucracy.

+Our office is in Cambridge on River Street. We have parking available and we're walking distance from the Central Square Red Line stop.

Why Join Us?
+You'll be an early engineer with an impact on company direction and culture.

+We offer competitive salary with perks like a new work machine, free catered daily lunch, drinks/snacks, and tools you need to be productive.

+We offer relocation assistance.

+You'll be building something meaningful. Education is a linchpin of our country's economy and empowers people to improve their own lives. For many reasons, education suffers throughout the country -- class sizes too large, methods outdated, teachers underpaid. Here's your chance to build a scalable solution that actually has impact.

To apply, please send an email to job.engineer@prepscholar.com with your resume. If you'd like, please include any of these: cover letter, GitHub profile, Hacker News profile, any project pages showing off your full stack work, or other portfolio.    ",810 memorial Drive,"Competitive with Market, Commensurate with Experience"
Senior UI Engineer - SAP SuccessFactors,https://sfbay.craigslist.org/sfc/sof/d/south-san-francisco-senior-ui-engineer/6930224380.html,2019-07-09 13:00, (SOMA / south beach),"
        
View job and apply on the corporate career site here.

You have achieved:

Minimum BS degree in computer science or related field
6+ years of experience in Java and related technologies
5 years of experience as a Software Engineer doing web application development (will accept MS + 3 in lieu of BS + 5)
 
Necessary Skills and Attitudes:

Expert in developing object-oriented JavaScript components and frameworks
Experience using Web-based UI frameworks, such as jQuery, Angular, React, Vue, and OpenUI5.
Experience with W3C XHTML and CSS standards, and cross-browser compatibility issues
Experience in implementing Web-accessible applications (using guidelines from ADA Section 508 and WCAG)
Experience with supporting Right-to-Left languages
Experience working in an Agile SCRUM development environment
Experience with Unix, Windows, JVM, web servers, and application servers
Solid understanding of core Java concepts and principles
Solid understanding of Java EE web application technologies
Solid understanding of Internet protocols and practices
Solid understanding of SQL, data storage, and management systems
Working knowledge of OOA, OOD, and UML
Working knowledge of XML
Must be passionate about developing cool interfaces and self-starting.

View job and apply on the corporate career site here.
    ",,DOE
